name,postal_code,city
Lycée Henri Sellier,93190,Livry-Gargan
Bourg-Madame,66760,Bourg-Madame
Saillagouse,66800,Saillagouse
Thuès les Bains,66360,Canaveilles
Joncet,66193,Serdinya
Prades - Molitg-les-Bains,66500,Prades
Saint-Féliu-d'Avall,66170,Saint-Féliu-d'Avall
Banyuls-sur-Mer,66650,Banyuls-sur-Mer
Argelès-sur-Mer,66700,Argelès-sur-Mer
Belvezet,48170,Mont Lozère et Goulet
Tournemire - Roquefort,12250,Tournemire
Saint-Rome-de-Cernon,12490,Saint-Rome-de-Cernon
Magalas,34480,Magalas
Les Cabrils,34233,Roqueredonde
Montpaon,12540,Fondamente
Leucate La Franqui,11370,Leucate
Béziers,34500,Béziers
Saint-Laurent-d'Aigouze,30220,Saint-Laurent-d'Aigouze
Le Cailar,30740,Cailar
Vauvert,30600,Vauvert
Saint-Geniès-de-Malgoirès,30190,Saint-Geniès-de-Malgoirès
La Grand-Combe,30110,Grand-Combe
Villefort,48800,Villefort
Milhaud,30540,Milhaud
Vic - Mireval,34110,Vic-la-Gardiole
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,84800,Isle-sur-la-Sorgue
Saint-Saturnin-lès-Avignon,84450,Saint-Saturnin-lès-Avignon
Bédarrides,84370,Bédarrides
Montélimar,26200,Montélimar
Laragne-Montéglin,05300,Laragne-Montéglin
Embrun,05200,Embrun
Veynes Dévoluy,05400,Veynes
Saint-Hilaire - Saint-Nazaire,38330,Saint-Hilaire-du-Rosier
Livron-sur-Drôme,26250,Livron-sur-Drôme
Saint-Vallier sur Rhône,26240,Saint-Vallier
Cannes,06400,Cannes
Tende,06430,Tende
La Brigue,06430,Brigue
Breil-sur-Roya,06540,Breil-sur-Roya
Peille,06440,Peille
Cap-d'Ail,06320,Cap-d'Ail
Cros de Cagnes,06800,Cagnes-sur-Mer
Nice,06008,Nice
Le Luc - Le Cannet,83340,Cannet-des-Maures
Carnoules,83660,Carnoules
La Garde,83130,Garde
Sénas,13560,Sénas
Arles,13200,Arles
Croix Sainte,13500,Martigues
Pas des Lanciers,13700,Saint-Victoret
Saint-Antoine,13015,Marseille
Aubagne,13400,Aubagne
Monestier-de-Clermont,38650,Monestier-de-Clermont
Montroc le Planet,74400,Chamonix-Mont-Blanc
Les Moussoux,74400,Chamonix-Mont-Blanc
Les Pélerins,74400,Chamonix-Mont-Blanc
Taconnaz,74310,Houches
Marignier,74970,Marignier
Saint-Pierre-en-Faucigny,74800,Saint-Pierre-en-Faucigny
La Roche-sur-Foron,74800,Roche-sur-Foron
Perrignier,74550,Perrignier
Bons-en-Chablais,74890,Bons-en-Chablais
Machilly,74140,Machilly
Saint-Julien-en-Genevois,74160,Saint-Julien-en-Genevois
Saint-Claude,39200,Saint-Claude
Ceyzériat,01250,Ceyzériat
Moûtiers - Salins - Brides-les-Bains,73600,Moûtiers
Frontenex,73460,Frontenex
Les Abrets - Fitilieu,38490,Abrets en Dauphiné
Le Pont-de-Beauvoisin,38480,Pont-de-Beauvoisin
Épierre - Saint-Léger,73220,Épierre
Aix-les-Bains le Revard,73100,Aix-les-Bains
Le Puy-en-Velay,43000,Puy-en-Velay
Lezoux,63190,Lezoux
Vertaizon,63910,Vertaizon
Issoire,63500,Issoire
Parent - Coudes - Champeix,63270,Parent
Sarliève - Cournon,63800,Cournon-d'Auvergne
Pontmort,63200,Pessat-Villeneuve
Royat - Chamalières,63130,Royat
Lachaud Curmilhac,43013,Vissac-Auteyrac
Balbigny,42510,Balbigny
Fraisses - Unieux,42490,Fraisses
Firminy,42700,Firminy
Montbrison,42600,Montbrison
Andrézieux-Bouthéon,42160,Andrézieux-Bouthéon
La Fouillouse,42480,Fouillouse
Saint-Étienne Le Clapier,42000,Saint-Étienne
Saint-Étienne Châteaucreux,42000,Saint-Étienne
Romanèche-Thorins,71570,Romanèche-Thorins
Tournus,71700,Tournus
La Tour-du-Pin,38110,Tour-du-Pin
Saint-Quentin-Fallavier,38070,Saint-Quentin-Fallavier
Chaponost,69630,Chaponost
Francheville,69340,Francheville
Saint-Clair - Les Roches,38370,Saint-Clair-du-Rhône
Givors Canal,69700,Givors
Chamelet,69620,Chamelet
Bois-d'Oingt - Légny,69620,Légny
Chessy,69380,Chessy
Les Flachères,69260,Charbonnières-les-Bains
Tarare,69170,Tarare
Saint-Romain-de-Popey,69490,Saint-Romain-de-Popey
Anse,69480,Anse
Saint-Victor - Thizy,42630,Saint-Victor-sur-Rhins
Morteau,25500,Morteau
Gilley,25650,Gilley
Novillars,25220,Novillars
Saint-Vit,25410,Saint-Vit
Franois,25770,Franois
Saint-Lothain,39230,Saint-Lothain
Liesle,25440,Liesle
Montferrand - Thoraise,25320,Montferrand-le-Château
Besançon Mouillère,25000,Besançon
Sainte-Colombe,25300,Sainte-Colombe
Gemeaux,21120,Gemeaux
Seurre,21250,Seurre
Corgoloin,21700,Corgoloin
Nuits-Saint-Georges,21700,Nuits-Saint-Georges
Dole,39100,Dole
Collonges-lès-Premières,21110,Collonges-lès-Premières
Genlis,21110,Genlis
Tonnerre,89700,Tonnerre
Les Laumes Alésia,21150,Venarey-les-Laumes
Thenissey,21150,Thenissey
Dijon,21000,Dijon
Dijon Porte Neuve,21000,Dijon
Ouges,21600,Ouges
Rully,71150,Rully
Châtel-Censoir,89660,Châtel-Censoir
Flez-Cuzy - Tannay,58190,Tannay
Varennes-sur-Allier,03150,Varennes-sur-Allier
Chantenay-Saint-Imbert,58240,Chantenay-Saint-Imbert
Saint-Pierre-le-Moûtier,58240,Saint-Pierre-le-Moûtier
Tracy - Sancerre,58150,Tracy-sur-Loire
Montceau-les-Mines,71300,Montceau-les-Mines
Cheilly-lès-Maranges,71150,Cheilly-lès-Maranges
Le Creusot - Montceau-les-Mines - Montchanin TGV,71210,Écuisses
Garchizy,58600,Garchizy
Malesherbes,45330,Malesherbois
Boigneville,91720,Boigneville
Gien,45500,Gien
Souppes - Château-Landon,77460,Souppes-sur-Loing
Bagneaux-sur-Loing,77167,Bagneaux-sur-Loing
Nemours - Saint-Pierre,77140,Saint-Pierre-lès-Nemours
Bourron-Marlotte - Grez,77780,Bourron-Marlotte
Mailly-la-Ville,89270,Mailly-la-Ville
Laroche - Migennes,89400,Migennes
Joigny,89300,Joigny
Étigny - Véron,89510,Étigny
Fontaine-le-Port,77590,Fontaine-le-Port
Saint-Mammès,77670,Saint-Mammès
Bois-le-Roi,77590,Bois-le-Roi
Savigny-le-Temple - Nandy,77176,Savigny-le-Temple
Cesson,77240,Cesson
Lieusaint - Moissy,77127,Moissy-Cramayel
Boussy-Saint-Antoine,91800,Boussy-Saint-Antoine
Ballancourt-sur-Essonne,91610,Ballancourt-sur-Essonne
Évry-Courcouronnes,91000,Évry-Courcouronnes
Orangis Bois de l'Épine,91130,Ris-Orangis
Viry-Châtillon,91170,Viry-Châtillon
Maisons-Alfort - Alfortville,94700,Alfortville
Cambo-les-Bains,64250,Cambo-les-Bains
Gan,64290,Gan
Artix,64170,Artix
Montaut Bétharram,64800,Montaut
Ygos-Saint-Saturnin,40100,Ygos-Saint-Saturnin
Lannemezan,65300,Lannemezan
Le Lioran,15300,Laveissière
Volvic,63530,Volvic
Commentry,03600,Commentry
Les Trillers,03190,Vaux
Magnette,03260,Audes
Lapeyrouse,63700,Lapeyrouse
Castres,81100,Castres
Quillan,11500,Quillan
Gaillac,81600,Gaillac
Viviez - Decazeville,12110,Viviez
Bagnac-sur-Célé,46270,Bagnac-sur-Célé
Lexos,82330,Varen
Caussade,82300,Caussade
Cransac,12110,Cransac
Gramat,46500,Gramat
Montaudran,31000,Toulouse
Fenouillet - Saint-Alban,31150,Fenouillet
Lalande Église,31000,Toulouse
Malause,82200,Malause
Saint-Jory,31790,Saint-Jory
L'Hospitalet-près-l'Andorre,09390,Hospitalet-près-l'Andorre
Porté-Puymorens,66760,Porté-Puymorens
Lacourtensourt,31200,Toulouse
Portet Saint-Simon,31120,Portet-sur-Garonne
Auterive,31190,Auterive
Pamiers,09100,Pamiers
Saint-Agne,31520,Toulouse
Labarthe-Inard,31800,Labarthe-Inard
Lestelle-de-Saint-Martory,31360,Lestelle-de-Saint-Martory
Saint-Martory,31360,Saint-Martory
Boussens,31360,Boussens
Carbonne,31390,Carbonne
Longages - Noé,31410,Longages
Parsac - Gouzon,23140,Parsac-Rimondeix
Lothiers,36350,Tendu
Villefranche-du-Périgord,24550,Villefranche-du-Périgord
Les Versannes,24330,Douze
Saint-Pierre-de-Chignac,24330,Saint-Pierre-de-Chignac
Saint-Léon-sur-l'Isle,24110,Saint-Léon-sur-l'Isle
Périgueux,24000,Périgueux
Puybrun,46130,Puybrun
Bétaille,46110,Bétaille
Pompadour,19410,Arnac-Pompadour
Larche,19600,Larche
Meymac,19250,Meymac
Allassac,19240,Allassac
Chabanais,16150,Chabanais
Aixe-sur-Vienne,87700,Aixe-sur-Vienne
Le Dorat,87210,Dorat
Saint-Germain-les-Belles,87380,Saint-Germain-les-Belles
Pierre-Buffière,87260,Pierre-Buffière
Bugeat,19170,Bugeat
Les Bardys,87480,Saint-Priest-Taurion
Tonneins,47400,Tonneins
Monsempron-Libos,47500,Monsempron-Libos
Trentels Ladignac,47140,Trentels
Penne-d'Agenais,47140,Penne-d'Agenais
Laroque-Timbaut,47340,Laroque-Timbaut
Vayres,33870,Vayres
Saint-Denis-de-Pile,33910,Saint-Denis-de-Pile
Mauzac-et-Grand-Castang,24150,Mauzac-et-Grand-Castang
Gardonne,24680,Gardonne
Chasseneuil-sur-Bonnieure,16260,Chasseneuil-sur-Bonnieure
La Rochefoucauld,16110,Rochefoucauld-en-Angoumois
Lamothe-Landerron,33190,Lamothe-Landerron
Podensac,33720,Podensac
La Hume,33470,Gujan-Mestras
Villenave-d'Ornon,33140,Villenave-d'Ornon
Bruges,33520,Bruges
Parempuyre,33290,Parempuyre
Cenon,33150,Cenon
Lesparre-Médoc,33340,Lesparre-Médoc
Arenc Euroméditerranée,13002,Marseille
Lunery,18400,Lunery
Saint-Florent-sur-Cher,18400,Saint-Florent-sur-Cher
Bourges,18000,Bourges
Faubourg d'Orléans,41200,Romorantin-Lanthenay
Loreux,41200,Loreux
Marmagne,18500,Marmagne
Mehun-sur-Yèvre,18500,Mehun-sur-Yèvre
Vierzon Forges,18100,Vierzon
Vierzon,18100,Vierzon
Lussac-les-Châteaux,86320,Lussac-les-Châteaux
Saint-Saviol,86400,Saint-Saviol
Ligugé,86240,Ligugé
Jaunay-Clan,86130,Jaunay-Marigny
Nerpuy,86630,Châtellerault
Dangé-Saint-Romain,86220,Dangé-Saint-Romain
Les Ormes,86220,Ormes
Montrichard,41400,Montrichard Val de Cher
Fréteval - Morée,41160,Fréteval
Bléré - La Croix,37150,Croix-en-Touraine
Amboise,37400,Amboise
Joué-lès-Tours,37300,Joué-lès-Tours
Azay-le-Rideau,37190,Azay-le-Rideau
La Membrolle-sur-Choisille,37540,Membrolle-sur-Choisille
Musée d'Orsay,75007,Paris
Sermaise,91530,Sermaise
Saint-Chéron,91530,Saint-Chéron
Vitry-sur-Seine,94400,Vitry-sur-Seine
Ablon-sur-Seine,94480,Ablon-sur-Seine
Juvisy-sur-Orge,91260,Juvisy-sur-Orge
Lardy,91510,Lardy
Étampes,91150,Étampes
Boulainvilliers,75016,Paris
Artenay,45410,Artenay
Orléans,45000,Orléans
Gallieni Cancéropôle,31000,Toulouse
Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac
Aubie - Saint-Antoine,33240,Val de Virvée
Cavignac,33620,Cavignac
Bussac-Forêt,17100,Bussac-Forêt
Jonzac,17500,Jonzac
Thouars,79100,Thouars
Saint-Gilles-Croix-de-Vie,85800,Saint-Gilles-Croix-de-Vie
Bournezeau,85480,Bournezeau
La Crèche,79260,Crèche
Ingrandes-Le Fresne-sur-Loire,49123,Ingrandes-Le Fresne sur Loire
Champtocé-sur-Loire,49123,Champtocé-sur-Loire
Cholet,49280,Cholet
Chemillé-en-Anjou,49120,Chemillé-en-Anjou
Le Vieux Briollay,49125,Briollay
Angers Saint-Laud,49100,Angers
Pontchâteau,44160,Pontchâteau
Saint-Étienne-de-Montluc,44360,Saint-Étienne-de-Montluc
Batz-sur-Mer,44740,Batz-sur-Mer
La Baule Les Pins,44500,Baule-Escoublac
Châteaubriant,44110,Châteaubriant
Nort-sur-Erdre,44390,Nort-sur-Erdre
Montaigu,85600,Montaigu-Vendée
La Haie-Fouassière,44690,Haie-Fouassière
Bourgneuf-en-Retz,44580,Villeneuve-en-Retz
Mauves-sur-Loire,44470,Mauves-sur-Loire
Chantenay,44000,Nantes
Saint-Pierre-la-Cour,53410,Saint-Pierre-la-Cour
Laval,53000,Laval
Pontorson - Mont-Saint-Michel,50170,Pontorson
Corseul - Languenan,22130,Languenan
Miniac-Morvan,35540,Miniac-Morvan
La Fresnais,35111,Fresnais
Dingé,35440,Dingé
Montreuil-sur-Ille,35440,Montreuil-sur-Ille
Saint-Médard-sur-Ille,35250,Saint-Médard-sur-Ille
Saint-Gildas-des-Bois,44530,Saint-Gildas-des-Bois
Sévérac,44530,Sévérac
Questembert,56230,Questembert
Gestel,56530,Gestel
Auray,56400,Auray
Saint-Pol-de-Léon,29250,Saint-Pol-de-Léon
Guimiliau,29400,Guimiliau
Bannalec,29380,Bannalec
Quimper,29000,Quimper
Dirinon,29460,Dirinon
Paimpol,22500,Paimpol
Trégonneau - Squiffiec,22200,Squiffiec
Gourland,22200,Grâces
Les Mais,22160,Callac
Yffiniac,22120,Yffiniac
Lamballe,22400,Lamballe-Armor
Plestan,22640,Plestan
Noyal - Acigné,35530,Noyal-sur-Vilaine
Redon,35600,Redon
Guichen - Bourg-des-Comptes,35580,Guichen
Laillé,35890,Laillé
Villedieu-les-Poêles,50800,Villedieu-les-Poêles-Rouffigny
Carantilly - Marigny,50570,Carantilly
Cherbourg,50100,Cherbourg-en-Cotentin
Sées,61500,Sées
Serquigny,27470,Serquigny
Frénouville - Cagny,14630,Frénouville
Aytré Plage,17440,Aytré
La Rochelle Porte Dauphine,17000,Rochelle
Lancey,38190,Villard-Bonnot
Bonnières-sur-Seine,78270,Bonnières-sur-Seine
Saint-Pierre-du-Vauvray,27430,Saint-Pierre-du-Vauvray
Bourgtheroulde - Thuit-Hébert,27520,Grand Bourgtheroulde
Épouville,76133,Épouville
Harfleur Halte,76700,Harfleur
Foucart - Alvimare,76640,Foucart
Saint-Laurent - Gainneville,76700,Saint-Laurent-de-Brèvedent
Harfleur,76700,Harfleur
Saint-Martin-du-Vivier,76160,Saint-Martin-du-Vivier
Malaunay - Le Houlme,76770,Houlme
Mouans-Sartoux,06370,Mouans-Sartoux
Vaas,72500,Vaas
Mayet,72360,Mayet
